npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/perbandingan/__next.laporan.perbandingan.txt?_rsc=uo1ca
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 18 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/perbandingan/__next.laporan.perbandingan.__PAGE__.txt?_rsc=nps9e
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 11 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/42c6d3dadceec01f.js
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 28 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/__next.laporan.__PAGE__.txt?_rsc=1q503
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 23 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 12 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 10 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 9 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/__next.statistik.__PAGE__.txt?_rsc=q247w
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/b9db7d85d52b15b6.js
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/8116036ad1d035da.js
